Country Name,ISO 2,ISO 3,ISO 2,Country Name,Name that should be used for Excel map charts,GNR Region,Income Group,LDC,SIDS,DAC Member,Dev Country,Fragility,2018 Population,FCAS,GNR Subregion,Resource-Rich,PRCR,CBLB,Poverty rate above 30%,Poverty rate below 2%
Cabo Verde,CV,CPV,CV,Cabo Verde,Cabo Verde,Africa,LMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,543767,,Western Africa,Non resource-rich,Non PRCR,0,0,0
Cabo Verde Republic of,CV,CPV,CV,Cabo Verde Republic of,Cabo Verde,Africa,LMIC,Non LDC,SIDS,Non DAC,Developing Country,Not fragile,543767,,Western Africa,Non resource-rich,Non PRCR,0,0,0
Cayman Islands,KY,CYM,KY,Cayman Islands,,Latin America and the Caribbean,HIC,Non LDC,SIDS,Non DAC,Not Developing,Not Fragile,64174,,Caribbean,Non resource-rich,Non PRCR,0,,
Central African Republic,CF,CAF,CF,Central African Republic,Central African Republic,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,4666377,,Middle Africa,Non resource-rich,PRCR,1,1,0
C.A.R.,CF,CAF,CF,C.A.R.,Central African Republic,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,4666377,,Middle Africa,Non resource-rich,PRCR,1,1,0
CAR,CF,CAF,CF,CAR,Central African Republic,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,4666377,,Middle Africa,Non resource-rich,PRCR,1,1,0
Chad,TD,TCD,TD,Chad,Chad,Africa,LIC,LDC,Non SIDS,Non DAC,Developing Country,Extremely fragile,15477751,,Middle Africa,Resource-rich,PRCR,1,1,0
Chile,CL,CHL,CL,Chile,Chile,Latin America and the Caribbean,HIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,18729160,FCAS,South America,Non resource-rich,Non PRCR,0,0,1
China,CN,CHN,CN,China,China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
"China, People's Republic of",CN,CHN,CN,"China, People's Republic of",China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
People's Republic of China,CN,CHN,CN,People's Republic of China,China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
China (People's Republic of),CN,CHN,CN,China (People's Republic of),China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
"China, People's Rep. of",CN,CHN,CN,"China, People's Rep. of",China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
People's Rep. of China,CN,CHN,CN,People's Rep. of China,China,Asia,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,1392730000,,Eastern Asia,Non resource-rich,Non PRCR,0,0,1
"Hong Kong, SAR China",HK,HKG,HK,"Hong Kong, SAR China",,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,7451000,,Eastern Asia,Non resource-rich,Non PRCR,0,,
"Hong Kong SAR, China",HK,HKG,HK,"Hong Kong SAR, China",,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,7451000,,Eastern Asia,Non resource-rich,Non PRCR,0,,
Hong Kong SAR,HK,HKG,HK,Hong Kong SAR,,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,7451000,,Eastern Asia,Non resource-rich,Non PRCR,0,,
Hong Kong,HK,HKG,HK,Hong Kong,,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,7451000,,Eastern Asia,Non resource-rich,Non PRCR,0,,
"Hong Kong, China",HK,HKG,HK,"Hong Kong, China",,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,7451000,,Eastern Asia,Non resource-rich,Non PRCR,0,,
"China, Hong Kong SAR",HK,HKG,HK,"China, Hong Kong SAR",,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,7451000,,Eastern Asia,Non resource-rich,Non PRCR,0,,
China (Hong Kong SAR),HK,HKG,HK,China (Hong Kong SAR),,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,7451000,,Eastern Asia,Non resource-rich,Non PRCR,0,,
"China, Macao SAR",MO,MAC,MO,"China, Macao SAR",,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,631636,,Eastern Asia,Non resource-rich,Non PRCR,0,,
"Macao, SAR China",MO,MAC,MO,"Macao, SAR China",,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,631636,,Eastern Asia,Non resource-rich,Non PRCR,0,,
"Macao SAR, China",MO,MAC,MO,"Macao SAR, China",,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,631636,,Eastern Asia,Non resource-rich,Non PRCR,0,,
Macao SAR,MO,MAC,MO,Macao SAR,,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,631636,,Eastern Asia,Non resource-rich,Non PRCR,0,,
Macao,MO,MAC,MO,Macao,,Asia,HIC,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,631636,,Eastern Asia,Non resource-rich,Non PRCR,0,,
Christmas Island,CX,CXR,CX,Christmas Island,,Oceania,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Australia and New Zealand,Non resource-rich,Non PRCR,0,,
Cocos (Keeling) Islands,CC,CCK,CC,Cocos (Keeling) Islands,,Oceania,,Non LDC,Non SIDS,Non DAC,Not Developing,Not Fragile,,,Australia and New Zealand,Non resource-rich,Non PRCR,0,,
Colombia,CO,COL,CO,Colombia,Colombia,Latin America and the Caribbean,UMIC,Non LDC,Non SIDS,Non DAC,Developing Country,Not fragile,49648685,,South America,Non resource-rich,Non PRCR,0,0,0
Comoros,KM,COM,KM,Comoros,Comoros,Africa,LMIC,LDC,SIDS,Non DAC,Developing Country,Fragile,832322,,Eastern Africa,Non resource-rich,Non PRCR,0,0,0
